status	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47	feature48	feature49	feature50	feature51	feature52	feature53	feature54	feature55	feature56	feature57	feature58	feature59	feature60	feature61	feature62	feature63	feature64	feature65	feature66	feature67	feature68	feature69	feature70	feature71	feature72	feature73	feature74	feature75	feature76	feature77	feature78	feature79	feature80	feature81	feature82	feature83	feature84	feature85	feature86	feature87	feature88	feature89	feature90	feature91	feature92	feature93	feature94	feature95	feature96	feature97	feature98	feature99	feature100
Case	 26.55	 18.488	 16.80	 58.5800	 20.02	 60.62683	 98.89	 46.630	 22.160	 50.75	 27.725	  6.936	 71.03	 25.40	 60.211	 68.3110	 15.505	 82.290	 11.71	 87.75	 78.611	 30.428	 57.660	 29.2574	 41.61	  1.7	 97.175	  2.86	  9.97	  9.88	 52.22	 50.58	 44.594	 44.48	 85.66	 62.24	 54.96	 39.99	 42.64	 68.358	 21.35	 91.48	 48.504	 74.34	 63.337	 18.43	 97.70	 57.92	 36.57	 70.87	 77.60	 16.20	 57.92	 97.02	 54.78	 40.48	 24.39	 32.65	  3.13	 76.44	 35.174	 78.85	 90.73	  4.382	 11.569	 98.9937	 88.87	 92.45	 53.08	  6.16	 33.293	 91.47	 44.23	 70.462	 21.386	 62.459	 29.13	 76.34	 86.593	 43.96	 15.03	 11.1321	  0.88	 76.4115	 49.43	 76.077	  1.61	 41.05	  7.33	 53.076	 51.777	  6.960	 37.38	 87.52	 15.171	 52.781	  4.113	 46.713	 58.47	 30.78
Case	 37.21	 70.237	 80.75	  0.8946	 68.52	 93.76420	 39.77	 20.782	  2.423	 30.68	  0.052	 81.778	 24.61	 63.78	 19.504	 24.4117	 96.838	 71.020	 48.40	 76.85	 25.245	 47.474	 22.307	 22.4891	 69.48	 28.9	  8.376	  8.84	 24.09	 48.82	 95.00	 59.48	 39.465	 99.85	  1.08	 67.55	  7.88	  2.03	 20.63	 87.290	 97.12	 93.71	 91.077	 28.29	 31.754	 24.34	 37.39	  3.38	 48.79	 43.77	 20.05	 97.00	 11.68	 66.75	 21.82	 72.12	 51.29	 14.50	 55.21	 35.28	 94.248	 34.60	 19.98	 82.721	 68.803	 82.9693	 16.28	 66.12	 76.88	 95.22	 55.510	 82.05	  8.31	 48.000	  1.819	 73.634	 71.75	 83.52	 44.822	 55.92	 90.97	  8.3746	 22.89	 34.5980	  9.40	 49.067	 29.14	 10.27	 90.95	 88.507	 41.820	 64.358	 31.90	 53.81	 57.584	 96.875	 56.873	 34.426	 11.38	 25.77
Case	 57.29	 57.333	 38.49	 29.3740	 91.69	 26.43521	 11.57	 79.966	 20.712	 42.69	 51.061	 94.262	 38.96	 95.72	 96.646	 45.0111	 46.826	 96.583	 65.12	 27.90	 69.925	 99.353	 33.190	 70.4223	 14.88	 87.4	 87.387	 47.44	 10.32	 36.40	 42.69	 80.87	 48.373	 88.49	 55.29	 80.23	 64.88	 14.56	 10.95	 69.012	 57.82	 28.61	  5.767	 50.76	 24.092	 58.40	 76.15	  0.27	 26.98	 20.00	 29.83	 34.65	  9.09	 68.96	  3.50	 30.84	  3.86	 66.63	 87.28	 69.14	 35.386	 61.20	  3.05	  4.337	 17.063	 58.5887	 45.05	 40.24	 64.59	 63.57	 32.737	 87.70	 61.46	 19.602	 68.397	 43.134	 86.24	 60.19	 70.511	 78.56	 68.73	 61.9174	 52.52	 87.2975	 28.65	 90.235	  4.25	 74.10	 76.06	 43.996	 50.859	 30.942	 25.20	 63.54	  5.310	 92.053	 98.058	 33.162	 68.43	 55.23
Case	 90.82	 16.805	 32.77	 27.7375	 28.44	 38.00939	  6.97	 65.187	 21.573	 69.31	  1.405	 26.938	  9.14	 55.25	 65.091	 22.9435	 77.682	  7.861	  6.84	 52.92	 18.446	 52.065	 71.072	 51.8897	 89.74	 80.0	 32.923	 88.54	 32.56	 42.06	 42.44	 72.88	 91.888	 23.84	 95.02	 26.03	 49.69	 37.75	  7.97	 11.594	 14.21	 83.04	 70.540	 57.67	 37.841	 34.56	 82.25	 37.73	 60.68	 76.71	 98.51	  2.08	 61.20	 19.48	 79.15	 73.10	 16.62	 94.24	 71.93	 69.59	  1.627	 71.59	  7.82	 98.933	  4.268	 41.7046	 92.14	 63.70	 86.53	 12.93	 21.167	 87.39	 62.28	 93.697	 35.578	 10.198	 95.01	 74.73	 70.348	  7.39	  1.01	 44.6819	 94.35	 76.7902	 61.56	 21.919	 85.77	 48.01	 82.27	 94.229	 65.633	 64.467	 38.71	 61.91	  7.044	 10.032	 17.523	 47.504	 99.25	  5.64
Case	 20.17	 94.384	 60.21	 81.3574	 10.47	 80.74834	 24.37	 32.151	 44.372	  8.51	  6.469	 16.935	 96.21	 98.31	 36.707	 86.3508	 40.789	  5.364	 36.53	 96.29	 95.961	 84.323	 81.945	 66.2620	 12.44	 31.2	 22.228	  9.16	 58.50	 30.10	 94.47	 15.20	 84.388	 22.73	 48.64	 75.98	 71.88	 75.38	 33.46	 19.501	 84.18	 64.17	 31.350	  3.22	 35.214	 23.31	 57.35	 24.33	  4.58	 51.32	 21.64	 90.47	 73.98	 35.77	 56.02	 34.63	 73.32	 83.69	 62.46	 28.26	  4.262	  6.52	 68.88	  8.985	 60.974	 66.2097	 16.92	 35.26	 36.89	 86.42	 31.612	 51.37	 53.74	 86.983	  7.581	 46.756	 73.88	 85.88	 59.848	 60.45	 80.60	 37.0520	 47.74	 22.7913	 57.45	 46.453	  3.06	 99.05	 94.44	 18.833	 96.740	 82.390	 76.45	  6.61	 48.888	 96.775	 83.594	 24.766	 53.50	 46.85
Case	 89.84	 94.347	 60.44	 26.0428	 70.11	 97.80757	 79.20	 71.893	 13.408	 22.54	 95.485	  3.390	  1.09	 51.15	 98.886	 31.1200	 53.880	 57.498	 22.39	 98.04	 91.868	 72.331	 42.372	 92.0444	 98.51	 47.1	 40.165	 75.73	  9.31	 14.76	 45.21	 95.62	 51.735	 84.78	  9.39	  1.99	 83.95	 75.18	 77.34	 46.120	 96.20	 51.91	 54.303	 14.34	 29.776	 65.51	 69.14	 11.89	 29.66	  4.47	 83.44	 48.14	 65.73	 65.68	  7.42	 10.02	 66.28	 36.37	 79.62	  9.55	 15.784	 13.09	 73.85	 81.769	 26.707	 37.9302	 63.58	 74.76	 86.88	 86.42	 94.727	 79.53	 13.74	 21.403	 13.657	 76.284	 45.75	 40.05	 39.821	  0.74	 71.08	 77.3647	 48.41	 26.7319	 81.39	 88.029	  6.95	 99.95	 73.66	 65.553	 42.070	 83.392	  4.46	 50.97	 15.277	 21.113	 86.386	 31.063	 96.66	 48.38
Case	 94.47	 12.916	 12.46	 72.4406	 52.80	 95.79337	 34.01	 29.087	 39.066	 27.45	  8.650	 17.879	 57.43	 93.28	 81.519	  7.4337	 20.689	 38.778	 29.19	  9.13	 10.180	 61.517	 96.354	 27.9736	 62.61	 79.6	  7.250	  3.44	 82.82	 89.86	 83.27	 75.35	 43.713	 28.26	 48.21	 95.54	 38.45	 51.00	 27.56	 20.354	 90.13	 73.66	 67.910	 44.72	 22.782	 89.17	 38.91	 98.10	 27.00	 69.99	 75.14	 83.02	  6.61	 94.75	 13.15	 21.32	 97.81	 24.03	 91.92	 43.90	 63.701	 52.97	  2.87	 93.831	  7.424	 42.4266	 46.84	 71.75	 17.11	 30.90	 66.171	 84.97	 44.93	  2.409	 54.997	 30.101	 85.14	 29.54	 20.149	 67.34	 71.48	  8.0281	 57.70	 12.5811	 17.57	 33.376	 18.01	  3.25	 20.11	 23.558	 99.326	 11.737	 82.43	 89.52	 37.406	 91.297	 96.583	  2.875	 67.14	 81.24
Case	 66.08	 83.345	 29.46	 90.6092	 80.79	 76.27319	 97.21	 93.227	 36.932	 27.23	 28.998	 64.167	 76.44	 42.84	 25.397	 83.2322	 18.710	 51.039	 57.33	  7.07	 17.219	 73.917	 97.813	 76.3820	 33.75	 73.5	  0.245	 86.86	 86.63	 22.36	 17.27	 85.21	 34.320	 71.76	 59.79	 43.67	 35.21	 44.16	 46.71	 59.085	 52.19	 13.47	 50.670	  5.69	 55.484	 59.34	 46.89	  3.83	 10.00	 64.63	 40.60	  4.90	 33.46	 68.55	 29.41	 16.02	 38.31	 72.83	 38.84	 88.86	  7.571	 29.34	 20.95	 62.017	 52.279	 84.2513	 57.86	 19.36	 78.77	 49.73	 88.942	 67.82	 98.86	 85.480	 81.100	 72.239	 84.65	 35.09	 63.481	 63.16	 63.49	 21.2781	 43.01	 32.0481	  0.22	 21.616	 32.09	 76.02	  1.66	 38.634	 35.319	 47.910	  5.50	 98.42	 30.006	 78.021	 81.796	 40.256	 29.46	 37.03
Control	 62.91	 46.802	 57.76	 94.9040	 95.65	 50.96485	 16.59	 76.915	 66.869	 61.58	 88.070	  2.288	 87.34	 48.56	 68.723	 87.4480	 77.997	 36.615	 83.66	 32.76	 98.600	 41.724	 84.052	 80.1631	  6.68	 34.1	 13.709	 56.46	 12.00	 96.60	 93.40	 67.34	  1.552	 39.61	 99.96	  8.92	 20.37	  4.73	 67.99	 37.389	 81.75	 65.70	 18.297	 11.53	 18.456	 87.88	 54.33	 78.53	 53.04	  4.20	 97.10	  1.65	 21.23	 87.83	 50.08	 70.54	 55.60	 26.80	 98.74	  4.15	  8.317	 98.81	 70.78	 50.606	 79.436	 37.6442	 12.64	 33.31	 17.36	 17.40	 33.801	 73.77	 19.85	 70.272	 94.471	 32.164	 56.74	  9.23	 86.104	 59.23	 61.84	 58.7536	 87.11	 60.0896	 14.66	 73.707	 96.68	 67.71	 97.32	 77.058	 18.219	  4.047	 79.96	 11.04	 96.997	 44.392	 29.536	 71.992	 35.84	 54.66
Control	  6.18	 54.998	 63.10	  7.3144	 11.05	  6.44768	 45.91	 64.449	 99.211	 42.97	 12.322	  0.832	  4.11	 38.17	 83.143	 13.9362	 19.394	 21.793	 72.61	 37.01	 84.940	 37.262	 99.661	 25.4725	 28.21	 66.9	 19.191	 94.68	 23.31	 14.11	 24.31	 38.71	 11.799	 57.47	 97.10	 36.05	 14.73	 86.74	 41.91	 14.130	 66.83	 70.51	 87.226	 44.92	  0.528	 94.85	 92.49	 46.36	 82.49	 10.75	 11.23	  3.46	 65.69	 90.80	  8.83	 51.07	 32.40	 58.27	  7.63	 80.34	 28.701	 69.02	  7.71	 58.651	 86.585	 91.1530	 71.46	 13.66	  2.21	 30.15	 43.475	 63.46	 76.54	 95.798	 22.582	 62.664	 45.69	 40.99	 70.345	 74.56	 49.23	 22.7211	 82.00	 14.6587	 90.34	 40.974	 40.44	 97.68	 26.21	 47.780	 66.611	 18.796	 29.96	 58.36	 30.373	 36.631	 14.735	 22.200	 17.53	 17.03
Case	 20.60	 55.267	 51.20	 75.4675	 27.33	 64.35728	 17.17	 45.704	 11.764	 65.17	 17.511	 39.270	 66.11	 89.10	 10.467	 31.9745	 43.423	 64.288	 40.65	 71.55	 66.754	 96.842	 86.596	 60.4889	 32.80	 55.9	 61.610	 70.24	 98.26	  6.54	 32.83	 65.80	 69.099	 32.44	 34.72	 28.44	 36.97	  6.90	 66.34	  9.616	 68.92	 45.77	 39.072	  9.18	 36.889	 26.68	 13.88	 68.79	 25.69	 39.06	 50.75	 85.75	 87.78	 14.93	 88.27	 93.17	 94.80	  3.20	 28.44	  4.26	 42.530	 52.47	 14.19	 37.233	 89.380	 25.8538	 14.52	 50.33	 88.29	 44.74	 11.758	 62.52	 55.61	 81.564	 77.819	 55.695	 87.24	 88.13	  0.428	 35.86	 44.35	 33.0055	 16.57	 73.4975	  1.98	 22.073	 45.84	 54.93	 10.91	 67.097	 97.898	 16.315	 12.30	 44.56	 75.704	  8.119	 49.080	 85.934	 54.88	 62.50
