state,fips.code,county,age.adjusted.percent.2004,age.adjusted.percent.2014
Alabama,1001,Autauga County,29.8,33.8
Alabama,1003,Baldwin County,25.9,27.2
Alabama,1005,Barbour County,31.6,44.7
Alabama,1007,Bibb County,29.2,40.3
Alabama,1009,Blount County,25.4,34.9
Alabama,1011,Bullock County,35.1,42.8
Alabama,1013,Butler County,30.3,36.6
Alabama,1015,Calhoun County,28.7,32.2
Alabama,1017,Chambers County,30.5,40
Alabama,1019,Cherokee County,26.4,33.9
Alabama,1021,Chilton County,27.6,36
Alabama,1023,Choctaw County,31.2,41.1
Alabama,1025,Clarke County,31.5,38.3
Alabama,1027,Clay County,28,37.7
Alabama,1029,Cleburne County,27.4,30.2
Alabama,1031,Coffee County,30.4,33.7
Alabama,1033,Colbert County,27.4,37.8
Alabama,1035,Conecuh County,32,36.7
Alabama,1037,Coosa County,30.2,39.8
Alabama,1039,Covington County,27.1,34.5
Alabama,1041,Crenshaw County,29.3,40.1
Alabama,1043,Cullman County,25,33.7
Alabama,1045,Dale County,28.8,36.6
Alabama,1047,Dallas County,35.1,40.8
Alabama,1049,DeKalb County,25.5,30.5
Alabama,1051,Elmore County,27.1,35.2
Alabama,1053,Escambia County,30.4,37.8
Alabama,1055,Etowah County,28.9,35.2
Alabama,1057,Fayette County,29.4,33.9
Alabama,1059,Franklin County,27.9,33.3
Alabama,1061,Geneva County,29.1,34.3
Alabama,1063,Greene County,35,46.4
Alabama,1065,Hale County,34.1,40.3
Alabama,1067,Henry County,30.5,36.1
Alabama,1069,Houston County,26.9,32.7
Alabama,1071,Jackson County,30.3,32.1
Alabama,1073,Jefferson County,27.7,33
Alabama,1075,Lamar County,26.8,34
Alabama,1077,Lauderdale County,28.3,33
Alabama,1079,Lawrence County,27.6,35.4
Alabama,1081,Lee County,25.9,29
Alabama,1083,Limestone County,28.6,32.6
Alabama,1085,Lowndes County,34.1,45.3
Alabama,1087,Macon County,37.9,44.8
Alabama,1089,Madison County,26.8,32.2
Alabama,1091,Marengo County,31.8,40.5
Alabama,1093,Marion County,27.6,36.1
Alabama,1095,Marshall County,28.3,33.4
Alabama,1097,Mobile County,30,37.2
Alabama,1099,Monroe County,30.5,35.3
Alabama,1101,Montgomery County,29.2,34.6
Alabama,1103,Morgan County,26.1,31.5
Alabama,1105,Perry County,35.8,43.4
Alabama,1107,Pickens County,30.8,36.4
Alabama,1109,Pike County,30.3,38.6
Alabama,1111,Randolph County,29.8,31
Alabama,1113,Russell County,32.5,36.2
Alabama,1115,St. Clair County,27.4,33
Alabama,1117,Shelby County,23.7,29.8
Alabama,1119,Sumter County,35.2,40.3
Alabama,1121,Talladega County,30.5,39.1
Alabama,1123,Tallapoosa County,26.9,37.3
Alabama,1125,Tuscaloosa County,28.4,34.2
Alabama,1127,Walker County,29.2,33.3
Alabama,1129,Washington County,29.9,40.4
Alabama,1131,Wilcox County,35.8,45.4
Alabama,1133,Winston County,27.9,30.2
Alaska,2013,Aleutians East Borough,28.1,33.1
Alaska,2016,Aleutians West,23,38.7
Alaska,2020,Anchorage Municipality,25,26.8
Alaska,2050,Bethel Census Area,27.2,30.3
Alaska,2060,Bristol Bay Borough,27.3,39
Alaska,2068,Denali Borough,21.6,26.1
Alaska,2070,Dillingham Census Area,25.9,37.7
Alaska,2090,Fairbanks North Star,25.6,28.2
Alaska,2100,Haines Borough,22.7,24.3
Alaska,2105,Hoonah-Angoon 2009 Census,No Data,31.1
Alaska,2110,Juneau City and Borough,21.7,28.2
Alaska,2122,Kenai Peninsula Borough,25.5,27.8
Alaska,2130,Ketchikan Gateway Borough,25.3,30.2
Alaska,2150,Kodiak Island Borough,22.1,30
Alaska,2164,Lake and Peninsula Borough,29.4,31.7
Alaska,2170,Matanuska-Susitna Borough,23.8,29.7
Alaska,2180,Nome Census Area,27.3,31.5
Alaska,2185,North Slope Borough,28.8,36
Alaska,2188,Northwest Arctic Borough,30.6,32.4
Alaska,2195,Petersburg 2009 Census,No Data,29.9
Alaska,2198,Prince of Wales-Hyder 2009 Census,No Data,34.8
Alaska,2201,Prince of Wales-Outer K 2004 to 2008 Census,27.2,No Data
Alaska,2220,Sitka City and Borough,21,28.3
Alaska,2230,Skagway Municipality 2009 Census,No Data,27.6
